,Gross_Pay,Name,Sex,DOB,Age,Join_Date,Tenure,Role,Dept
38,133568.75,'Milton Adkins',M,17/12/1993,26,03/10/2019,9,'Platform Operations Engineer.Associate.','Platform Operations'
39,209182.5,'Jack Walsh',M,09/01/1990,30,03/07/2017,36,'Software Development Engineer in Test.Senior.','Media Analytics'
40,76234.0,'Lucia Spencer',F,23/02/1994,26,03/07/2017,36,'Software Development Engineer in Test..','Media Portal'
41,132420.0,'Jamey Ortega',M,08/07/1983,37,10/10/2013,81,'Contract/Billing Analyst.Senior Lead.','Finance - Customer Revenue Operations GA'
42,97853.0,'Faith Krause',F,30/06/1995,25,03/07/2017,36,'Technical Solutions Engineer..','AmaTec - Americas TSE'
43,90383.75,'Long Krause',M,10/12/1993,26,23/01/2017,41,'Account Service Manager..','Americas- AMG'
44,296915.0,'Del Parks',M,30/06/1989,31,06/11/2017,32,'Security Operations Center Specialist.Senior.','APJ Security Services - SOCC'
45,265250.0,'Gerard Dominguez',M,20/01/1987,33,14/09/2017,34,'Software Development Engineer in Test.Senior II.','Dynamic Media SQA'
46,244207.5,'Anibal Velazquez',M,15/05/1990,30,13/05/2019,14,'Software Engineer.Senior.','Enterprise Applications'
47,566360.0,'Ian Bolton',M,01/04/1981,39,03/10/2016,45,'Architect.Senior Lead.','Enterprise Access Engineering'
48,349008.75,'Quintin Malone',M,06/05/1979,41,13/06/2019,13,'Manager.Senior.IT Help Desk Services','Enterprise Infrastructure Services'
49,145251.25,'Basil Neal',M,14/12/1987,32,27/02/2014,76,'Client Service Manager.Senior.','Americas- AMG'
50,299831.25,'Mohammed Hubbard',M,29/04/1985,35,15/04/2013,87,'Software Engineer.Senior II.','Media Services Engineering'
51,173878.75,'Cristobal Page',M,10/04/1984,36,01/06/2015,61,'Network Implementation Manager II.Lead.','Networks - APJ Infrastructure'
52,215323.75,'Howard Livingston',M,09/06/1991,29,13/08/2018,23,'Solutions Architect II..','Service Delivery Americas Web'
53,401196.25,'Kermit Mata',M,30/03/1982,38,16/01/2014,77,Manager..Engineering,'GSS EPIC Engineering (HC COGS)'
54,361523.75,'Mario Wood',M,30/09/1977,42,09/08/2018,23,Manager..Engineering,'Media Portal'
55,282086.25,'Dewayne Copeland',M,23/04/1983,37,02/01/2008,150,'Incident Manager..','Platform Operations'
56,267372.5,'Alexander Galvan',M,17/06/1988,32,03/12/2015,55,'Software Engineer.Senior II.','Enterprise Access Engineering'
57,396762.5,'Lonnie Marsh',M,23/04/1982,38,25/06/2018,24,'Site Reliability Engineer.Senior II.','LUNA/OPEN Engineering'
58,87327.5,'Armand Meadows',M,18/01/1991,29,31/05/2018,25,'Account Service Manager..','Americas- AMG'
59,128761.25,'Horace Wilkinson',M,27/05/1992,28,18/05/2015,61,'Order Analyst.Senior.','Finance - Customer Revenue Operations GA'
60,100138.75,'Dylan Velasquez',M,05/05/1993,27,06/07/2017,36,'Q/A Engineer.Senior.','IT DevOps'
61,130768.75,'Aldo Barajas',M,26/01/1991,29,18/09/2017,33,'Network Infrastructure Engineer..','Networks - APJ Infrastructure'
62,179771.25,'Tobias Gregory',M,02/07/1991,29,18/09/2014,69,'Software Engineer.Senior.','Enterprise Applications'
63,147643.75,'Jed Gates',M,10/07/1994,26,04/07/2016,48,'Software Engineer II..','IT DevOps'
64,222110.0,'Fredric Oneal',M,11/11/1989,30,19/02/2018,28,'Software Engineer.Senior.','Corporate Systems'
65,251733.75,'Jere Nolan',M,21/09/1985,34,19/06/2017,36,'Security Operations Center Specialist.Senior.','APJ Security Services - SOCC'
66,233252.5,'Minh Blackwell',M,05/01/1989,31,13/07/2015,60,'Technical Solutions Engineer II..','AmaTec - APJ TSE'
67,329597.5,'Blake Hall',M,08/05/1991,29,01/07/2013,84,'Software Engineer.Senior II.','LUNA/OPEN Engineering'
68,261878.75,'Elvis Gaines',M,27/02/1989,31,25/08/2014,70,'Software Engineer.Senior.','Corporate Systems'
69,274892.5,'Xavier Bates',M,13/08/1982,37,19/02/2018,28,'Business Systems Analyst.Senior II.','Corporate Systems'
70,373171.25,'Shad Wells',M,01/10/1985,34,21/11/2013,79,Manager..Engineering,'LUNA/OPEN Engineering'
71,177842.5,'Chris Oconnor',M,06/10/1987,32,07/07/2014,72,'Client Service Manager.Senior.','Americas- AMG'
72,201055.0,'Darell Church',M,09/08/1990,29,24/04/2017,38,'Software Engineer.Senior.','GSS EPIC Engineering (HC COGS)'
73,161738.75,'Leonard Coffey',M,18/03/1994,26,23/07/2018,23,'Solutions Architect..','Service Delivery Americas Web'
74,126392.5,'Kerry Hunter',M,02/02/1995,25,03/07/2017,36,'Software Engineer II..','IT DevOps'
75,148791.25,'Juan Ballard',M,11/12/1993,26,17/06/2019,12,'Software Engineer II..','Enterprise Applications'
76,210540.0,'Reed Mathews',M,17/05/1981,39,27/03/2017,39,'Systems Administrator II..Windows','Enterprise Infrastructure Services'
77,198375.0,'Herman Benson',M,28/08/1990,29,14/10/2019,9,'Software Engineer.Senior.','Corporate Systems'
78,164302.0,'Maritza Valenzuela',F,06/12/1988,31,24/11/2014,67,'Q/A Engineer.Senior II.','IT DevOps'
79,126560.0,'Elroy Ware',M,01/08/1994,25,05/08/2019,11,'Platform Operations Engineer.Associate.','Platform Operations'
80,194994.0,'Maura Barber',F,01/05/1984,36,19/10/2017,32,'Software Development Engineer in Test.Senior II Lead.','Media Portal'
81,157412.5,'Antonia Carey',M,31/07/1985,34,27/07/2015,59,'Platform Operations Engineer..','Platform Operations'
82,202976.25,'Chauncey Hughes',M,08/08/1992,27,04/09/2017,34,'Software Engineer II..','Media Analytics'
83,401853.75,'Leon Weeks',M,31/12/1985,34,28/09/2017,33,'Software Engineer.Senior II.','LUNA/OPEN Engineering'
84,128200.0,'Lionel Noble',M,08/06/1995,25,08/08/2019,11,'Systems Engineer..','GSS EPIC Engineering (HC COGS)'
85,116381.25,'Judson Li',M,25/02/1990,30,18/06/2018,24,'Billing Specialist..','Finance - Customer Revenue Operations GA'
86,101574.0,'Maureen Beard',F,16/08/1995,24,02/07/2018,24,'Software Engineer..','Media Services Engineering'
87,162016.0,'Joanne Lucas',F,21/05/1990,30,07/04/2014,75,'Software Engineer.Senior.','Corporate Systems'
88,81400.0,'Sybil Cordova',F,02/01/1992,28,05/08/2019,11,'Billing Specialist..','Finance - Customer Revenue Operations GA'
89,160354.0,'Susan Burke',F,24/04/1992,28,31/07/2017,35,'Software Development Engineer in Test.Senior.','IT DevOps'
90,112646.0,'Yvette Buchanan',F,31/10/1991,28,26/08/2019,10,'Technical Solutions Engineer..','AmaTec - Americas TSE'
91,170717.5,'Conrad Riddle',M,11/11/1985,34,25/07/2013,83,'Contract/Billing Analyst.Senior.','Finance - Customer Revenue Operations GA'
92,136050.0,'Bill Murillo',M,01/06/1994,26,16/04/2018,26,'Systems Engineer..','GSS EPIC Engineering (HC COGS)'
93,232503.75,'Josue Ramos',M,27/12/1989,30,11/07/2016,48,'Software Engineer.Senior.','Corporate Systems'
94,291132.5,'Weldon Hurley',M,09/04/1984,36,16/03/2017,39,'Software Engineer.Senior II.','Corporate Systems'
95,208113.75,'Damion Brown',M,05/08/1989,30,20/08/2015,58,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
96,287841.25,'Barney Hopkins',M,21/03/1986,34,30/05/2019,13,'Software Development Engineer in Test.Senior II Lead.','Media Portal'
97,357622.5,'Nathaniel Ellis',M,24/04/1987,33,29/01/2015,65,'Software Engineer.Senior II Lead.','Media Portal'
98,229288.75,'Clyde Heath',M,02/03/1989,31,29/06/2017,36,'Software Engineer.Senior.','LUNA/OPEN Engineering'
99,154108.75,'Xavier Petty',M,01/06/1993,27,06/01/2020,6,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
100,236195.0,'Alvaro Franklin',M,26/10/1986,33,11/06/2018,25,'Technical Solutions Engineer II..','AmaTec - APJ TSE'
101,134657.0,'Cherie Morrow',F,03/11/1991,28,09/01/2017,42,'Q/A Engineer.Senior.','IT DevOps'
102,169715.0,'Cedrick Booth',M,25/05/1989,31,27/04/2017,38,'Systems Engineer..','Enterprise Infrastructure Services'
103,133256.25,'Tracy Diaz',M,17/07/1992,27,06/01/2020,6,'Software Engineer II..','Enterprise Applications'
104,100062.5,'Elvin Black',M,17/12/1995,24,08/08/2019,11,'Account Service Manager.Associate.','Americas- AMG'
105,174588.0,'Lynnette Morgan',F,09/10/1992,27,14/10/2019,9,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
106,215470.0,'Ulysses Barajas',M,04/06/1979,41,13/11/2006,164,'Shift Manager..Platform Operations','Platform Operations'
107,291548.75,'Alden Tucker',M,30/01/1987,33,20/10/2014,68,'Systems Support Engineer.Senior II.','IT DevOps'
108,419605.0,'Dane Ruiz',M,20/12/1977,42,18/04/2016,50,Manager..Engineering,'Media Services Engineering'
109,77608.75,'Giuseppe Dougherty',M,05/01/1998,22,08/07/2019,12,'Software Development Engineer in Test..','Media Portal'
110,295210.0,'Rae Glenn',F,15/07/1981,39,10/09/2015,58,'Software Engineer.Senior II Lead.','LUNA/OPEN Engineering'
111,327421.25,'Jerrold Kennedy',M,03/09/1984,35,30/07/2012,95,'Software Engineer.Senior II Lead.','Corporate Systems'
112,152213.75,'Everett Wade',M,06/05/1993,27,20/06/2016,48,'Technical Solutions Engineer II..','AmaTec - APJ TSE'
113,153100.0,'Erin Camacho',M,26/06/1985,35,01/10/2012,93,'Order Analyst.Senior Lead.','Finance - Customer Revenue Operations GA'
114,167255.0,'Sang Wolfe',M,11/09/1990,29,21/12/2017,30,'Software Engineer II..','Media Services Engineering'
115,3138.75,'Marcus Schmitt',M,15/11/1986,33,15/06/2017,37,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
116,163106.25,'Kraig Boone',M,15/12/1990,29,17/07/2017,35,'Business Systems Analyst.Senior.','Corporate Systems'
117,199885.0,'Jamaal Valenzuela',M,04/01/1991,29,19/06/2017,36,'Software Engineer.Senior.','Enterprise Applications'
118,92266.25,'Simon Parker',M,17/07/1997,22,08/07/2019,12,'Software Engineer..','Enterprise Applications'
119,197143.75,'Jerald Best',M,19/02/1983,37,30/06/2016,48,'Technical Solutions Engineer II..','AmaTec - Americas TSE'
120,157590.0,'Emmett Ho',M,06/02/1991,29,09/10/2017,33,'Q/A Engineer.Senior.','IT DevOps'
121,98683.0,'Willa Combs',F,25/05/1994,26,22/08/2016,46,'Software Engineer II..','Enterprise Applications'
122,308955.0,'Jordon Porter',M,09/01/1978,42,11/03/2013,88,'Systems Administrator.Senior Lead.UNIX','Enterprise Infrastructure Services'
123,135338.0,'Estelle Clark',F,24/04/1990,30,02/06/2016,49,'Systems Administrator II..UNIX','Enterprise Infrastructure Services'
124,180086.0,'Reba Evans',F,26/11/1991,28,11/01/2018,30,'Software Engineer.Senior.','LUNA/OPEN Engineering'
125,137940.0,'Vaughn Horton',M,12/06/1992,28,14/09/2017,34,'Technical Solutions Engineer..','AmaTec - Americas TSE'
126,146021.25,'Lionel Campos',M,27/02/1994,26,24/04/2017,38,'Software Engineer II..','LUNA/OPEN Engineering'
127,92266.25,'Mark Walters',M,14/07/1997,23,08/07/2019,12,'Software Engineer..','Enterprise Applications'
128,96877.5,'Tanner Bailey',M,12/01/1997,23,02/07/2018,24,'Software Engineer..','IT DevOps'
129,85661.0,'Jill Oneill',F,31/10/1994,25,13/05/2019,14,'Solutions Architect.Associate.','Service Delivery Americas Web'
130,247721.0,'Patrica Walton',F,22/09/1984,35,03/02/2014,77,Manager..Engineering,'Enterprise Applications'
131,66683.0,'Ladonna Berry',F,19/10/1990,29,13/06/2019,13,'Help Desk Administrator..','Enterprise Infrastructure Services'
132,142695.0,'Nikki Trevino',F,21/07/1989,30,12/07/2018,24,'Infrastructure Delivery Manager..','Networks - APJ Infrastructure'
133,111835.0,'Ellen Carey',F,04/06/1990,30,13/07/2017,36,'Technical Solutions Engineer..','AmaTec - Americas TSE'
134,133666.25,'Booker Hodge',M,10/08/1994,25,24/10/2019,8,'Systems Support Engineer II..','IT DevOps'
135,193013.75,'Cedric Mckinney',M,13/05/1988,32,07/07/2014,72,'Business Systems Analyst.Senior.','Corporate Systems'
136,188621.0,'Myrtle Gamble',F,25/07/1988,31,07/07/2014,72,'Software Engineer.Senior II.','Enterprise Applications'
137,231755.0,'Wilburn Salinas',M,25/10/1989,30,11/08/2016,47,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
138,100165.0,'Allan Shah',M,11/12/1993,26,04/11/2019,8,'Platform Operations Engineer.Associate.','Platform Operations'
139,454232.5,'Colin Calhoun',M,25/02/1982,38,11/10/2010,117,Manager.Senior.Engineering,'Enterprise Applications'
140,218694.0,'Maritza Blevins',F,05/01/1987,33,11/12/2014,67,'Business Systems Analyst.Senior II Lead.','Enterprise Applications'
141,127592.5,'Millard Werner',M,29/10/1986,33,10/06/2013,85,'Business Operations Analyst..','Finance - Customer Revenue Operations GA'
142,263158.0,'Carlene Osborne',F,09/08/1984,35,03/03/2008,148,'Systems Support Engineer.Senior II Lead.','LUNA/OPEN Engineering'
143,87351.0,'Justine Whitney',F,20/07/1988,31,18/05/2015,61,'Order Analyst II..','Finance - Customer Revenue Operations GA'
144,226502.5,'Beau Bryant',M,24/07/1987,32,18/11/2019,7,'Business Systems Analyst.Senior II.','Corporate Systems'
145,667033.75,'Len Bennett',M,15/10/1976,43,02/03/2017,40,'Software Engineer.Principal.','Enterprise Access Engineering'
146,144826.25,'Dorsey Blankenship',M,10/02/1991,29,25/03/2019,15,'Solutions Architect..','Service Delivery Americas Web'
147,143537.5,'Octavio Bentley',M,25/06/1988,32,03/10/2016,45,'Client Service Manager.Senior.','Americas- AMG'
148,147587.5,'Heath Jefferson',M,18/03/1991,29,21/06/2018,24,'Security Operations Technician.Senior.','APJ Security Services - SOCC'
149,251338.75,'Geoffrey Burns',M,28/06/1978,42,27/08/2012,94,'Q/A Engineer.Senior II.','IT DevOps'
150,112960.0,'Delmer Rollins',M,10/07/1990,30,01/06/2015,61,'Security Operations Technician II..','APJ Security Services - SOCC'
151,70813.0,'Cherry Gentry',F,16/10/1996,23,08/07/2019,12,'Software Engineer..','Media Portal'
152,180368.75,'Joshua Duran',M,15/10/1989,30,21/09/2015,57,'Q/A Engineer.Senior.','IT DevOps'
153,88630.0,'Georgia Mccarty',F,15/04/1992,28,04/05/2017,38,'Q/A Engineer II..','IT DevOps'
154,288091.25,'Zack Brewer',M,13/05/1987,33,04/01/2018,30,'Software Engineer.Senior II.','Corporate Systems'
155,189750.0,'Minerva Mcclain',F,04/02/1988,32,08/08/2016,47,'Technical Solutions Engineer II.Lead.','AmaTec - Americas TSE'
156,120250.0,'Timmy Mcdonald',M,25/03/1992,28,04/07/2016,48,'Network Infrastructure Engineer..','Networks - EMEA Infrastructure'
157,239708.75,'Evan Mooney',M,19/06/1984,36,21/12/2009,126,'Manager..Account Management','Americas- AMG'
158,101103.75,'Harlan Atkinson',M,01/07/1996,24,02/07/2018,24,'Software Engineer..','Media Analytics'
159,180518.0,'Abigail Price',F,29/12/1983,36,04/09/2017,34,'Client Service Manager..','Americas- AMG'
160,126181.25,'Alfredo Reese',M,08/04/1984,36,18/12/2014,66,'Billing Specialist.Senior.','Finance - Customer Revenue Operations GA'
161,265431.25,'Jeramy Rivera',M,25/11/1983,36,10/08/2017,35,'Software Engineer.Senior II.','Media Portal'
162,119909.0,'Annmarie Ruiz',F,24/06/1985,35,25/08/2014,70,'Contract/Billing Analyst.Senior.','Finance - Customer Revenue Operations GA'
163,229451.25,'Andre Moses',M,17/11/1983,36,28/01/2016,53,'Software Development Engineer in Test.Senior II.','Media Analytics'
164,227791.25,'Arden Farley',M,20/04/1991,29,26/04/2018,26,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
165,95458.75,'Dion Holmes',M,02/04/1993,27,17/06/2019,12,'Network Engagement Consultant..','Networks - EMEA Infrastructure'
166,245596.25,'Tyrone Charles',M,24/08/1985,34,09/10/2017,33,'Manager..Network Infrastructure','Networks - APJ Infrastructure'
167,167760.0,'Basil Edwards',M,26/08/1978,41,20/04/2009,134,'Partner Services Manager.Senior.','Americas- AMG'
168,85895.0,'Cheri Miranda',F,03/05/1990,30,23/06/2016,48,'Network Implementation Manager..','Networks - APJ Infrastructure'
169,229910.0,'Elias Dorsey',M,22/12/1988,31,29/01/2015,65,'Platform Operations Engineer.Senior.','Platform Operations'
170,219167.0,'Eduardo Brewer',,01/07/1987,33,01/06/2017,37,'Software Development Engineer in Test.Senior II.','LUNA/OPEN Engineering'
171,117487.5,'Elijah Grimes',M,25/05/1995,25,05/08/2019,11,'Technical Solutions Engineer.Associate.','AmaTec - Americas TSE'
172,76377.0,'Beth Lyons',F,20/01/1991,29,06/07/2015,60,'Billing Specialist..','Finance - Customer Revenue Operations GA'
173,299618.75,'Eliseo Santana',M,07/06/1987,33,10/08/2017,35,'Software Engineer.Senior II.','Corporate Systems'
174,128250.0,'Rowena Oneal',F,29/09/1992,27,30/06/2014,72,'Technical Solutions Engineer II..','AmaTec - APJ TSE'
175,217736.25,'Elwood Cantu',M,12/03/1987,33,12/05/2014,74,'Q/A Engineer.Senior II.','IT DevOps'
176,135083.75,'Lincoln Rosales',M,10/12/1990,29,03/07/2014,72,'Order Analyst.Senior.','Finance - Customer Revenue Operations GA'
177,300070.0,'Hosea Acosta',M,23/08/1983,36,08/10/2012,93,'Systems Support Engineer.Senior II Lead.','IT DevOps'
178,122841.0,'Jenifer Montgomery',F,27/08/1993,26,28/06/2018,24,'Software Development Engineer in Test II..','IT DevOps'
179,109140.0,'Francesco Orr',M,25/03/1991,29,27/11/2017,31,'Systems Support Engineer II..','IT DevOps'
180,106653.75,'Leif Pitts',M,07/09/1990,29,03/04/2017,39,'Billing Specialist II..','Finance - Customer Revenue Operations GA'
181,208756.0,'Janice Hickman',F,25/04/1988,32,23/02/2015,64,'Software Engineer.Senior II.','Enterprise Applications'
182,526007.5,'Darrin Boyle',M,10/08/1981,38,27/09/2010,117,Manager..Engineering,'Media Portal'
183,332102.0,'Phoebe Humphrey',F,05/08/1982,37,29/11/2010,115,'Manager..Software Development Engineer in Test','IT DevOps'
184,167374.0,'Terrance Colon',,04/01/1987,33,07/04/2014,75,'Software Engineer.Senior.','Corporate Systems'
185,108803.75,'Keneth Quinn',M,15/05/1990,30,21/09/2017,33,'Technical Solutions Engineer..','AmaTec - Americas TSE'
186,238415.0,'Harriet Vargas',F,11/01/1982,38,16/06/2011,108,'Technical Solutions Engineer.Senior.','AmaTec - Americas TSE'
187,179750.0,'Derick Garcia',M,04/04/1990,30,05/09/2019,10,'Software Engineer II..','Enterprise Applications'
188,139010.0,'Filiberto Barrera',M,01/07/1988,32,20/07/2015,59,'Order Analyst.Senior.','Finance - Customer Revenue Operations GA'
189,85048.0,'Leigh Chang',F,22/07/1994,25,16/09/2019,9,'Platform Operations Engineer.Associate.','Platform Operations'
190,358757.5,'Virgilio Wu',M,29/05/1987,33,01/10/2015,57,'Product Architect..','GSS EPIC Engineering (HC COGS)'
191,71371.0,'Mara Hanna',F,05/08/1991,28,21/09/2017,33,'Network Engagement Consultant..','Networks - EMEA Infrastructure'
192,187173.75,'Eliseo Miles',M,03/11/1988,31,04/07/2016,48,'Systems Administrator II..Windows','Enterprise Infrastructure Services'
193,156212.5,'Armand Davis',M,04/03/1979,41,13/07/2015,60,'Client Service Manager.Senior.','Americas- AMG'
194,141195.0,'Winston Melton',M,27/04/1993,27,30/11/2017,31,'Software Engineer II..','Enterprise Applications'
195,89243.75,'Geoffrey Benton',M,29/11/1989,30,13/01/2020,6,'Network Administrator II..','Enterprise Infrastructure Services'
196,141636.25,'Denver Stephenson',M,02/10/1989,30,02/05/2016,50,'Platform Operations Engineer II..','Platform Operations'
197,203333.75,'Elisha Wilcox',M,29/09/1986,33,29/08/2019,10,'Software Development Engineer in Test.Senior.','Dynamic Media SQA'
198,170427.5,'Eduardo Dixon',M,25/08/1985,34,02/11/2017,32,'Network Engineer..','Enterprise Infrastructure Services'
199,334035.0,'Wendell Forbes',M,30/12/1987,32,11/07/2011,108,'Software Engineer.Senior II Lead.','Enterprise Applications'
200,304435.0,'Taylor Buckley',M,28/05/1989,31,05/12/2013,79,'Software Engineer.Senior II.','Enterprise Applications'
201,137412.5,'Cristopher Hardy',M,01/09/1992,27,26/07/2018,23,'Q/A Engineer II..','IT DevOps'
202,149232.5,'Damon Villanueva',M,08/12/1982,37,06/10/2014,69,'Client Service Manager.Senior.','Americas- AMG'
203,140293.75,'Ernest Mahoney',M,10/04/1989,31,09/04/2018,27,'Platform Operations Engineer..','Platform Operations'
204,62100.0,'Etta Maldonado',F,11/08/1992,27,04/09/2017,34,'Client Service Manager.Associate.','Americas- AMG'
205,100688.75,'Stuart Vang',M,13/12/1989,30,17/08/2017,34,'Collections Specialist..','Finance - Customer Revenue Operations GA'
206,156771.0,'Doris Ryan',F,25/06/1991,29,16/01/2017,41,'Security Operations Center Specialist..','APJ Security Services - SOCC'
207,107452.0,'Sheena Bowman',F,31/07/1989,30,27/07/2017,35,'Solutions Architect..','Service Delivery Americas Web'
208,190758.75,'Eli Pittman',M,29/07/1991,28,18/12/2017,30,'Software Engineer.Senior.','Media Analytics'
209,201040.0,'Wesley Blackburn',M,06/05/1985,35,25/06/2012,96,'Order Management Supervisor..','Finance - Customer Revenue Operations GA'
210,439896.25,'Britt Stevenson',M,22/10/1987,32,23/11/2009,127,'Software Engineer.Principal.','Corporate Systems'
211,73083.0,'Rosella Byrd',F,31/05/1993,27,18/05/2017,37,'Logistics Specialist..','Networks - APJ Infrastructure'
212,232116.25,'Caleb Rivera',M,21/06/1988,32,25/04/2016,50,'Platform Operations Engineer II..','Platform Operations'
213,160978.75,'Nathanial Sosa',M,11/03/1985,35,15/03/2018,28,'Systems Administrator II..UNIX','Enterprise Infrastructure Services'
214,126053.75,'Zack Moses',M,07/10/1996,23,02/07/2018,24,'Software Engineer II..','IT DevOps'
215,213250.0,'Carrol Serrano',M,23/09/1993,26,11/11/2019,8,'Software Engineer II..','Media Portal'
216,203252.0,'Kermit Reilly',,06/10/1988,31,02/12/2013,79,'Platform Operations Engineer.Senior.','Platform Operations'
217,112452.5,'Archie Carey',M,16/12/1992,27,27/06/2016,48,'Technical Solutions Engineer..','AmaTec - Americas TSE'
218,229060.0,'Earnest Park',M,20/06/1991,29,09/09/2019,10,'Security Operations Center Specialist II..','APJ Security Services - SOCC'
219,113085.0,'Ellis Cook',M,10/10/1994,25,19/02/2018,28,'Security Operations Technician II..','APJ Security Services - SOCC'
220,92266.25,'Stanford Bean',M,05/02/1998,22,08/07/2019,12,'Software Engineer..','Corporate Systems'
221,398453.75,'Cliff Friedman',M,20/04/1989,31,17/03/2014,75,Manager..Engineering,'GSS EPIC Engineering (HC COGS)'
222,93127.5,'Jesus Delgado',M,29/09/1995,24,02/07/2018,24,'Software Engineer..','Enterprise Applications'
